season-start, season-end,winner-country,winner,score,runner-up,runner-up-country,stadium,final-city,final-country,attendance,winning-way
1955,1956,Spain,Real Madrid,4–3,Reims,France,Parc des Princes,Paris,France,38239,normal time
1956,1957,Spain,Real Madrid,2–0,Fiorentina,Italy,Santiago Bernabéu,Madrid,Spain,124000,normal time
1957,1958,Spain,Real Madrid,3–2,Milan,Italy,Heysel Stadium,Brussels,Belgium,67000,extra time
1958,1959,Spain,Real Madrid,2–0,Reims,France,Neckarstadion,Stuttgart,West Germany,72000,20normal time
1959,1960,Spain,Real Madrid,7–3,Eintracht Frankfurt,West Germany,Hampden Park,Glasgow,Scotland,127621,normal time
1960,1961,Portugal,Benfica,3–2,Barcelona,Spain,Wankdorf Stadium,Bern,Switzerland,26732,normal time
1961,1962,Portugal,Benfica,5–3,Real Madrid,Spain,Olympisch Stadion,Amsterdam,Netherlands,61257,normal time
1962,1963,Italy,Milan,2–1,Benfica,Portugal,Wembley Stadium,London,England,45715,normal time
1963,1964,Italy,Inter Milan,3–1,Real Madrid,Spain,Praterstadion,Vienna,Austria,71333,normal time
1964,1965,Italy,Inter Milan,1–0,Benfica,Portugal,San Siro,Milan,Italy,89000,normal time
1965,1966,Spain,Real Madrid,2–1,Partizan,Yugoslavia,Heysel Stadium,Brussels,Belgium,46745,normal time
1966,1967,Scotland,Celtic,2–1,Inter Milan,Italy,Estádio Nacional,Lisbon,Portugal,45000,normal time
1967,1968,England,Manchester United,4–1,Benfica,Portugal,Wembley Stadium,London,England,92225,extra time
1968,1969,Italy,Milan,4–1,Ajax,Netherlands,Santiago Bernabéu,Madrid,Spain,31782,normal time
1969,1970,Netherlands,Feyenoord,2–1,Celtic,Scotland,San Siro,Milan,Italy,53187,extra time
1970,1971,Netherlands,Ajax,2–0,Panathinaikos,Greece,Wembley Stadium,London,England,83179,normal time
1971,1972,Netherlands,Ajax,2–0,Inter Milan,Italy,De Kuip,Rotterdam,Netherlands,61354,normal time
1972,1973,Netherlands,Ajax,1–0,Juventus,Italy,Red Star Stadium,Belgrade,SFR Yugoslavia,89484,normal time
1973,1974,West Germany,Bayern Munich,4–0,Atlético Madrid,Spain,Heysel Stadium,Brussels,Belgium,23325,replay
1974,1975,West Germany,Bayern Munich,2–0,Leeds United,England,Parc des Princes,Paris,France,48374,normal time
1975,1976,West Germany,Bayern Munich,1–0,Saint-Étienne,France,Hampden Park,Glasgow,Scotland,54864,normal time
1976,1977,England,Liverpool,3–1,Borussia Mönchengladbach,West Germany,Stadio Olimpico,Rome,Italy,57000,normal time
1977,1978,England,Liverpool,1–0,Club Brugge,Belgium,Wembley Stadium,London,England,92500,normal time
1978,1979,England,Nottingham Forest,1–0,Malmö FF,Sweden,Olympiastadion,Munich,West Germany,57500,normal time
1979,1980,England,Nottingham Forest,1–0,Hamburger SV,West Germany,Santiago Bernabéu,Madrid,Spain,51000,normal time
1980,1981,England,Liverpool,1–0,Real Madrid,Spain,Parc des Princes,Paris,France,48360,normal time
1981,1982,England,Aston Villa,1–0,Bayern Munich,West Germany,De Kuip,Rotterdam,Netherlands,46000,normal time
1982,1983,West Germany,Hamburger SV,1–0,Juventus,Italy,Olympic Stadium,Athens,Greece,73500,normal time
1983,1984,England,Liverpool,1–1,Roma,Italy,Stadio Olimpico,Rome,Italy,69693,penalty
1984,1985,Italy,Juventus,1–0,Liverpool,England,Heysel Stadium,Brussels,Belgium,58000,normal time
1985,1986,Romania,Steaua București,0–0,Barcelona,Spain,Ramón Sánchez Pizjuán,Seville,Spain,70000,penalty
1986,1987,Portugal,Porto,2–1,Bayern Munich,West Germany,Praterstadion,Vienna,Austria,57500,normal time
1987,1988,Netherlands,PSV Eindhoven,0–0,Benfica,Portugal,Neckarstadion,Stuttgart,West Germany,68000,penalty
1988,1989,Italy,Milan,4–0,Steaua București,Romania,Camp Nou,Barcelona,Spain,97000,normal time
1989,1990,Italy,Milan,1–0,Benfica,Portugal,Praterstadion,Vienna,Austria,57558,normal time
1990,1991,Yugoslavia,Red Star Belgrade,0–0,Marseille,France,Stadio San Nicola,Bari,Italy,56000,penalty
1991,1992,Spain,Barcelona,1–0,Sampdoria,Italy,Wembley Stadium,London,England,70827,extra time
1992,1993,France,Marseille,1–0,Milan,Italy,Olympiastadion,Munich,Germany,64400,normal time
1993,1994,Italy,Milan,4–0,Barcelona,Spain,Olympic Stadium,Athens,Greece,70000,normal time
1994,1995,Netherlands,Ajax,1–0,Milan,Italy,Ernst-Happel-Stadion,Vienna,Austria,49730,normal time
1995,1996,Italy,Juventus,1–1,Ajax,Netherlands,Stadio Olimpico,Rome,Italy,70000,penalty
1996,1997,Germany,Borussia Dortmund,3–1,Juventus,Italy,Olympiastadion,Munich,Germany,59000,normal time
1997,1998,Spain,Real Madrid,1–0,Juventus,Italy,Amsterdam Arena,Amsterdam,Netherlands,48500,normal time
1998,1999,England,Manchester United,2–1,Bayern Munich,Germany,Camp Nou,Barcelona,Spain,90245,normal time
1999,192000,20Spain,Real Madrid,3–0,Valencia,Spain,Stade de France,Saint-Denis,France,80000,normal time
2000,2001,Germany,Bayern Munich,1–1,Valencia,Spain,San Siro,Milan,Italy,71500,penalty
2001,2002,Spain,Real Madrid,2–1,Bayer Leverkusen,Germany,Hampden Park,Glasgow,Scotland,50499,normal time
2002,2003,Italy,Milan,0–0,Juventus,Italy,Old Trafford,Manchester,England,62315,penalty
2003,2004,Portugal,Porto,3–0,Monaco,France,Arena AufSchalke,Gelsenkirchen,Germany,53053,normal time
2004,2005,England,Liverpool,3–3,Milan,Italy,Atatürk Olympic Stadium,Istanbul,Turkey,69000,penalty
2005,2006,Spain,Barcelona,2–1,Arsenal,England,Stade de France,Saint-Denis,France,79610,normal time
2006,2007,Italy,Milan,2–1,Liverpool,England,Olympic Stadium,Athens,Greece,63000,normal time
2007,2008,England,Manchester United,1–1,Chelsea,England,Luzhniki Stadium,Moscow,Russia,67310,penalty
2008,2009,Spain,Barcelona,2–0,Manchester United,England,Stadio Olimpico,Rome,Italy,62467,normal time
2009,2010,Italy,Inter Milan,2–0,Bayern Munich,Germany,Santiago Bernabéu,Madrid,Spain,73490,normal time
2010,2011,Spain,Barcelona,3–1,Manchester United,England,Wembley Stadium,London,England,87695,normal time
2011,2012,England,Chelsea,1–1,Bayern Munich,Germany,Allianz Arena,Munich,Germany,62500,penalty
2012,2013,Germany,Bayern Munich,2–1,Borussia Dortmund,Germany,Wembley Stadium,London,England,86298,normal time
2013,2014,Spain,Real Madrid,4–1,Atlético Madrid,Spain,Estádio da Luz,Lisbon,Portugal,60976,extra time
2014,2015,Spain,Barcelona,3–1,Juventus,Italy,Olympiastadion,Berlin,Germany,70442,normal time
2015,2016,Spain,Real Madrid,1–1,Atlético Madrid,Spain,San Siro,Milan,Italy,71942,19penalty
2016,2017,Spain,Real Madrid,4–1,Juventus,Italy,Millennium Stadium,Cardiff,Wales,65842,normal time
2017,2018,Spain,Real Madrid,3–1,Liverpool,England,NSC Olimpiyskiy Stadium,Kyiv,Ukraine,61561,normal time
2018,2019,E,19gland,Liverpool,2–0,Tottenham Hotspur,England,Metropolitano Stadium,Madrid,Spain,63272,normal time
2019,202,19,Germany,Bayern Munich,1–0,Paris Saint-Germain,France,Estádio da Luz,Lisbon,Portugal,0,normal time
2020,202,20,England,Chelsea,1–0,Manchester City,England,Estádio do Dragão,Porto,Portugal,14110,normal time
2021,2022,Spain,Real Madrid,1–0,Liverpool,England,Stade de France,Saint-Denis,France,75000,normal time
2022,2023,England,Manchester City,1–0,Inter Milan,Italy,Atatürk Olympic Stadium,Istanbul,Turkey,71412,normal time
